//	extraxted from http://norvig.com/mayzner.html
//	more at http://storage.googleapis.com/books/ngrams/books/datasetsv2.html

NQ	0.00006	167,770,304
OQ	0.00001	29,227,658
PQ	0.00000	1,075,049
QQ	0.00000	1,712,219
RQ	0.00001	28,152,573
SQ	0.00007	209,894,196
TQ	0.00000	2,517,400
UQ	0.00000	7,235,727
VQ	0.00000	212,856
WQ	0.00000	0
XQ	0.00000	8,225,536
YQ	0.00000	384,882
ZQ	0.00000	913,036

AR	1.075	30,308,513,014
BR	0.00112	3,145,611,704
CR	0.00149	4,214,150,542
DR	0.00085	2,409,399,231
ER	2.048	57,754,162,106
FR	0.00213	6,011,200,185
GR	0.00197	5,548,472,398
HR	0.00084	2,379,584,978
IR	0.00315	8,886,799,024
JR	0.00000	6,846,578
KR	0.00003	76,743,394
LR	0.00010	283,411,884
MR	0.00003	87,580,303
NR	0.00009	258,048,421
OR	1.277	35,994,097,756
PR	0.00474	13,378,480,175
QR	0.00000	1,744,325
RR	0.00121	3,404,547,067
SR	0.00006	168,896,339
TR	0.00426	12,006,693,396
UR	0.00543	15,303,657,594
VR	0.00001	24,701,238
WR	0.00031	867,361,010
XR	0.00000	907,409
YR	0.00008	219,696,469
ZR	0.00000	5,320,518

AS	0.00871	24,561,944,198
BS	0.00046	1,292,319,275
CS	0.00023	643,530,723
DS	0.00126	3,560,125,353
ES	1.339	37,766,388,079
FS	0.00006	155,349,948
GS	0.00051	1,443,474,876
HS	0.00015	414,044,112
IS	1.128	31,817,918,249
JS	0.00000	3,329,038
KS	0.00048	1,339,590,722
LS	0.00142	3,990,203,351
MS	0.00093	2,617,582,287
NS	0.00509	14,350,320,288
OS	0.00290	8,176,085,241
PS	0.00055	1,538,723,474
QS	0.00000	4,448,602
RS	0.00397	11,180,732,354
SS	0.00405	11,421,755,201
TS	0.00337	9,516,029,773
US	0.00454	12,808,517,567
VS	0.00001	16,263,248
WS	0.00035	989,253,674
XS	0.00000	1,804,740
YS	0.00097	2,730,343,336
ZS	0.00000	8,395,904

AT	1.487	41,920,838,452
BT	0.00017	482,272,940
CT	0.00461	12,997,849,406
DT	0.00003	81,648,332
ET	0.00413	11,634,161,334
FT	0.00082	2,302,659,749
GT	0.00015	434,302,509
HT	0.00130	3,670,802,795
IT	1.123	31,672,532,308
JT	0.00000	2,917,850
KT	0.00001	29,132,180
LT	0.00124	3,486,149,365
MT	0.00001	38,538,709
NT	1.041	29,359,771,944
OT	0.00442	12,465,822,481
PT	0.00106	2,982,699,529
QT	0.00000	1,385,505
RT	0.00362	10,198,055,461
ST	1.053	29,704,461,829
TT	0.00171	4,812,693,687
UT	0.00405	11,423,899,818
VT	0.00000	6,181,932
WT	0.00007	184,446,342
XT	0.00047	1,315,669,490
YT	0.00017	470,429,861
ZT	0.00000	6,627,349

AU	0.00119	3,356,322,923
BU	0.00185	5,214,802,738
CU	0.00163	4,585,165,906
DU	0.00148	4,186,093,215
EU	0.00031	878,402,090
FU	0.00096	2,706,168,901
GU	0.00086	2,418,410,978
HU	0.00074	2,077,887,429
IU	0.00017	490,874,936
JU	0.00059	1,655,210,582
KU	0.00003	85,313,841
LU	0.00135	3,811,884,104
MU	0.00115	3,231,856,188
NU	0.00079	2,217,508,482
OU	0.00870	24,531,132,241
PU	0.00105	2,947,681,332
QU	0.00148	4,160,167,957
RU	0.00128	3,618,438,291
SU	0.00311	8,774,129,154
TU	0.00255	7,187,510,085
UU	0.00001	22,006,895
VU	0.00002	62,384,927
WU	0.00001	19,601,657
XU	0.00005	134,528,161
YU	0.00001	37,436,235
ZU	0.00002	60,692,846

AV	0.00205	5,778,409,728
BV	0.00004	108,385,069
CV	0.00000	5,869,407
DV	0.00019	537,221,821
EV	0.00255	7,184,041,787
FV	0.00000	807,297
GV	0.00000	1,192,366
HV	0.00000	6,292,998
IV	0.00288	8,116,349,309
JV	0.00000	1,719,726
KV	0.00000	4,414,960
LV	0.00035	984,229,060
MV	0.00000	8,172,535
NV	0.00052	1,466,426,243
OV	0.00178	5,021,440,160
PV	0.00000	6,222,096
QV	0.00000	635,514
RV	0.00069	1,953,555,667
SV	0.00001	35,005,005
TV	0.00001	32,805,751
UV	0.00003	82,252,351
VV	0.00000	2,622,571
WV	0.00000	389,123
XV	0.00002	55,076,715
YV	0.00000	5,115,763
ZV	0.00000	4,618,705

AW	0.00060	1,689,436,638
BW	0.00000	8,319,869
CW	0.00000	3,909,223
DW	0.00008	230,152,384
EW	0.00117	3,293,529,190
FW	0.00000	6,451,511
GW	0.00001	18,260,884
HW	0.00005	134,615,178
IW	0.00001	17,611,969
JW	0.00000	1,165,914
KW	0.00002	61,416,538
LW	0.00013	356,374,125
MW	0.00001	16,465,357
NW	0.00006	163,456,000
OW	0.00330	9,318,366,591
PW	0.00001	34,037,460
QW	0.00000	163,292
RW	0.00013	359,714,599
SW	0.00024	663,415,953
TW	0.00082	2,322,619,238
UW	0.00000	7,824,504
VW	0.00000	742,188
WW	0.00000	7,377,619
XW	0.00000	6,292,525
YW	0.00003	95,070,267
ZW	0.00000	6,279,286

AX	0.00019	531,206,960
BX	0.00000	778,622
CX	0.00000	876,736
DX	0.00000	1,296,277
EX	0.00214	6,035,335,807
FX	0.00000	812,116
GX	0.00000	557,030
HX	0.00000	263,997
IX	0.00022	621,227,893
JX	0.00000	161,750
